,Condition,Mouse,Compound,value,Tissue
479,Sedentary,16,isoleucine,12.220703291410672,heart
495,Exercise,1,lysine,12.12822593530734,heart
496,Sedentary,2,lysine,11.580277665355931,heart
497,Exercise,3,lysine,12.5183293137949,heart
498,Exercise,5,lysine,12.223885864983307,heart
499,Sedentary,6,lysine,12.710365871347037,heart
500,Exercise,7,lysine,13.159110042089218,heart
501,Sedentary,8,lysine,13.810848649576352,heart
502,Exercise,9,lysine,11.425183839811327,heart
503,Sedentary,10,lysine,11.618984901507625,heart
504,Exercise,11,lysine,12.866701328407956,heart
505,Sedentary,12,lysine,13.233634786952464,heart
506,Exercise,13,lysine,13.802278419435316,heart
507,Sedentary,14,lysine,12.0207692274917,heart
508,Exercise,15,lysine,12.990705509382705,heart
509,Sedentary,16,lysine,13.602394347970334,heart
510,Exercise,1,methionine,10.03345647219164,heart
511,Sedentary,2,methionine,9.413014244805606,heart
512,Exercise,3,methionine,10.048208648564097,heart
513,Exercise,5,methionine,10.00818008489174,heart
514,Sedentary,6,methionine,10.15331841933731,heart
515,Exercise,7,methionine,10.463717162659702,heart
516,Sedentary,8,methionine,10.286250632613253,heart
517,Exercise,9,methionine,9.807716990395948,heart
518,Sedentary,10,methionine,9.794252003563546,heart
519,Exercise,11,methionine,10.437132634177164,heart
520,Sedentary,12,methionine,10.363417518176433,heart
521,Exercise,13,methionine,10.781904111364776,heart
522,Sedentary,14,methionine,10.036490660523256,heart
523,Exercise,15,methionine,10.128928166764167,heart
524,Sedentary,16,methionine,10.138702543944976,heart
525,Exercise,1,phenylalanine,13.637376737436945,heart
526,Sedentary,2,phenylalanine,12.258445378944641,heart
527,Exercise,3,phenylalanine,13.706844757120832,heart
528,Exercise,5,phenylalanine,13.427343187310237,heart
529,Sedentary,6,phenylalanine,13.738530323699964,heart
530,Exercise,7,phenylalanine,14.228081164313847,heart
531,Sedentary,8,phenylalanine,14.174671527805172,heart
532,Exercise,9,phenylalanine,13.3866813105568,heart
533,Sedentary,10,phenylalanine,12.793017919337535,heart
534,Exercise,11,phenylalanine,14.078299210496045,heart
535,Sedentary,12,phenylalanine,14.008927900031315,heart
536,Exercise,13,phenylalanine,16.038155670530653,heart
537,Sedentary,14,phenylalanine,13.288618879210471,heart
538,Exercise,15,phenylalanine,13.730449976404602,heart
539,Sedentary,16,phenylalanine,13.460109816218358,heart
540,Exercise,1,tyrosine,10.190598438738684,heart
541,Sedentary,2,tyrosine,9.857159541735534,heart
542,Exercise,3,tyrosine,10.465087048727018,heart
543,Exercise,5,tyrosine,10.273393728793822,heart
544,Sedentary,6,tyrosine,10.442699878965938,heart
545,Exercise,7,tyrosine,10.707306052906112,heart
546,Sedentary,8,tyrosine,10.515429847170573,heart
547,Exercise,9,tyrosine,10.227536876896046,heart
548,Sedentary,10,tyrosine,10.18648330688944,heart
549,Exercise,11,tyrosine,10.621799621573667,heart
550,Sedentary,12,tyrosine,10.576793319487207,heart
551,Exercise,13,tyrosine,11.296625787612097,heart
552,Sedentary,14,tyrosine,10.10447208938955,heart
553,Exercise,15,tyrosine,10.484554513332077,heart
554,Sedentary,16,tyrosine,10.15504360729526,heart
555,Exercise,1,tryptophan,13.453699348966222,heart
556,Sedentary,2,tryptophan,12.625626982455909,heart
557,Exercise,3,tryptophan,13.341142653355135,heart
558,Exercise,5,tryptophan,13.220702272967106,heart
559,Sedentary,6,tryptophan,13.422142748458663,heart
560,Exercise,7,tryptophan,13.17163085547105,heart
561,Sedentary,8,tryptophan,12.884453047767174,heart
