,Condition,Mouse,Compound,value,Tissue
252,Sedentary,14,malate,20.714881444352386,liver
253,Exercise,15,malate,21.563042396145317,liver
254,Sedentary,16,malate,22.219587312640027,liver
255,Exercise,1,aspartate,12.829954008470605,liver
256,Sedentary,2,aspartate,14.06343061594256,liver
257,Exercise,3,aspartate,14.378264893925568,liver
258,Exercise,5,aspartate,14.335388583662533,liver
259,Sedentary,6,aspartate,13.639453986718527,liver
260,Exercise,7,aspartate,13.070449176032717,liver
261,Sedentary,8,aspartate,15.537620972132096,liver
262,Exercise,9,aspartate,13.57040438363342,liver
263,Sedentary,10,aspartate,13.794899399609681,liver
264,Exercise,11,aspartate,14.887735248794986,liver
265,Sedentary,12,aspartate,14.121681752318446,liver
266,Exercise,13,aspartate,15.24528802669728,liver
267,Sedentary,14,aspartate,14.10911752289658,liver
268,Exercise,15,aspartate,14.059924942177297,liver
269,Sedentary,16,aspartate,13.902276918148676,liver
270,Exercise,1,threonine,10.977444647044603,liver
271,Sedentary,2,threonine,11.425826156161902,liver
272,Exercise,3,threonine,11.130814757095141,liver
273,Exercise,5,threonine,10.960255514136934,liver
274,Sedentary,6,threonine,11.004610666846434,liver
275,Exercise,7,threonine,10.544088985070431,liver
276,Sedentary,8,threonine,11.80611664646668,liver
277,Exercise,9,threonine,11.41493984328737,liver
278,Sedentary,10,threonine,11.163321599254159,liver
279,Exercise,11,threonine,11.208027318057175,liver
280,Sedentary,12,threonine,11.35473241912238,liver
281,Exercise,13,threonine,12.519245270142632,liver
282,Sedentary,14,threonine,12.192486216337947,liver
283,Exercise,15,threonine,11.263137009861133,liver
284,Sedentary,16,threonine,11.400894169400368,liver
285,Exercise,1,a-ketoglutarate,8.803335419004146,liver
286,Sedentary,2,a-ketoglutarate,8.674327057523154,liver
287,Exercise,3,a-ketoglutarate,9.152670273593575,liver
288,Exercise,5,a-ketoglutarate,8.734601112178902,liver
289,Sedentary,6,a-ketoglutarate,8.916190924173051,liver
290,Exercise,7,a-ketoglutarate,8.956300037197288,liver
291,Sedentary,8,a-ketoglutarate,8.936007543376054,liver
292,Exercise,9,a-ketoglutarate,8.542628101564523,liver
293,Sedentary,10,a-ketoglutarate,8.947907227378577,liver
294,Exercise,11,a-ketoglutarate,8.94330497456498,liver
295,Sedentary,12,a-ketoglutarate,8.873967933993265,liver
296,Exercise,13,a-ketoglutarate,8.37860282645693,liver
297,Sedentary,14,a-ketoglutarate,8.870909220573266,liver
298,Exercise,15,a-ketoglutarate,9.02484677623186,liver
299,Sedentary,16,a-ketoglutarate,8.78213014564733,liver
300,Exercise,1,arginine,7.563697082872273,liver
301,Sedentary,2,arginine,7.730378240489537,liver
302,Exercise,3,arginine,7.594310863227685,liver
303,Exercise,5,arginine,7.507408069687157,liver
304,Sedentary,6,arginine,7.478116724027996,liver
305,Exercise,7,arginine,7.327521442887547,liver
306,Sedentary,8,arginine,7.922648907210901,liver
307,Exercise,9,arginine,7.390244319369336,liver
308,Sedentary,10,arginine,7.417302536520006,liver
309,Exercise,11,arginine,7.489634203946386,liver
310,Sedentary,12,arginine,7.254034559018479,liver
311,Exercise,13,arginine,8.115462549845121,liver
312,Sedentary,14,arginine,7.694544381558702,liver
313,Exercise,15,arginine,7.608197979683354,liver
314,Sedentary,16,arginine,7.307359739169482,liver
315,Exercise,1,citrate/isocitrate,14.701149670627164,liver
316,Sedentary,2,citrate/isocitrate,14.748936923515233,liver
317,Exercise,3,citrate/isocitrate,14.547814670978449,liver
318,Exercise,5,citrate/isocitrate,15.015813758990436,liver
319,Sedentary,6,citrate/isocitrate,16.179323705659897,liver
320,Exercise,7,citrate/isocitrate,15.961133299167136,liver
321,Sedentary,8,citrate/isocitrate,17.99638611213065,liver
322,Exercise,9,citrate/isocitrate,13.91680827501369,liver
323,Sedentary,10,citrate/isocitrate,16.167541301474213,liver
324,Exercise,11,citrate/isocitrate,14.983232817231542,liver
325,Sedentary,12,citrate/isocitrate,15.720338254729432,liver
326,Exercise,13,citrate/isocitrate,17.862235484846707,liver
327,Sedentary,14,citrate/isocitrate,15.683709166444606,liver
328,Exercise,15,citrate/isocitrate,14.73550134281416,liver
329,Sedentary,16,citrate/isocitrate,14.599814498734483,liver
330,Exercise,1,2-hydroxy-isovalerate,12.417839680910436,liver
331,Sedentary,2,2-hydroxy-isovalerate,12.103018331062687,liver
332,Exercise,3,2-hydroxy-isovalerate,11.157587233424545,liver
333,Exercise,5,2-hydroxy-isovalerate,13.422127621258767,liver
334,Sedentary,6,2-hydroxy-isovalerate,12.94433723656074,liver
335,Exercise,7,2-hydroxy-isovalerate,12.996938260388655,liver
336,Sedentary,8,2-hydroxy-isovalerate,13.550620193667873,liver
337,Exercise,9,2-hydroxy-isovalerate,12.76739286268162,liver
338,Sedentary,10,2-hydroxy-isovalerate,14.807388691225729,liver
339,Exercise,11,2-hydroxy-isovalerate,13.52349285255752,liver
340,Sedentary,12,2-hydroxy-isovalerate,12.538218607547677,liver
341,Exercise,13,2-hydroxy-isovalerate,12.938015491360149,liver
342,Sedentary,14,2-hydroxy-isovalerate,11.8630855632516,liver
343,Exercise,15,2-hydroxy-isovalerate,11.352431466626788,liver
344,Sedentary,16,2-hydroxy-isovalerate,10.727593160174667,liver
345,Exercise,1,2-keto-isovalerate,7.819092984485527,liver
346,Sedentary,2,2-keto-isovalerate,8.762277019991965,liver
347,Exercise,3,2-keto-isovalerate,7.933741088855129,liver
348,Exercise,5,2-keto-isovalerate,8.261870282358839,liver
349,Sedentary,6,2-keto-isovalerate,8.62269636057377,liver
350,Exercise,7,2-keto-isovalerate,8.37216789491825,liver
351,Sedentary,8,2-keto-isovalerate,8.529400596052152,liver
352,Exercise,9,2-keto-isovalerate,8.114202507320705,liver
353,Sedentary,10,2-keto-isovalerate,8.295514280825241,liver
354,Exercise,11,2-keto-isovalerate,7.981320305406009,liver
355,Sedentary,12,2-keto-isovalerate,8.664302045264455,liver
356,Exercise,13,2-keto-isovalerate,9.31060734268109,liver
357,Sedentary,14,2-keto-isovalerate,8.2602989974833,liver
358,Exercise,15,2-keto-isovalerate,8.55792681987906,liver
359,Sedentary,16,2-keto-isovalerate,8.292697019429019,liver
360,Exercise,1,2-keto-isocaproate,9.79888189511526,liver
361,Sedentary,2,2-keto-isocaproate,10.335011531689355,liver
362,Exercise,3,2-keto-isocaproate,9.60904086893117,liver
363,Exercise,5,2-keto-isocaproate,9.482493731508363,liver
364,Sedentary,6,2-keto-isocaproate,9.618046613728911,liver
365,Exercise,7,2-keto-isocaproate,10.23573701815625,liver
366,Sedentary,8,2-keto-isocaproate,10.183162935808445,liver
367,Exercise,9,2-keto-isocaproate,8.992522081669318,liver
368,Sedentary,10,2-keto-isocaproate,9.64719993358555,liver
369,Exercise,11,2-keto-isocaproate,9.43054631893487,liver
370,Sedentary,12,2-keto-isocaproate,9.638491622509402,liver
371,Exercise,13,2-keto-isocaproate,10.357453359771068,liver
372,Sedentary,14,2-keto-isocaproate,9.387483684396194,liver
373,Exercise,15,2-keto-isocaproate,9.781473046735782,liver
374,Sedentary,16,2-keto-isocaproate,9.453046501621905,liver
420,Exercise,1,valine,14.748857125267934,liver
421,Sedentary,2,valine,16.260249080331224,liver
422,Exercise,3,valine,16.615479658275362,liver
423,Exercise,5,valine,15.090640562412593,liver
424,Sedentary,6,valine,15.16433851802706,liver
425,Exercise,7,valine,15.706915579295355,liver
426,Sedentary,8,valine,18.016987770780705,liver
427,Exercise,9,valine,16.294696424661716,liver
428,Sedentary,10,valine,14.877341074591385,liver
429,Exercise,11,valine,15.850657895557749,liver
430,Sedentary,12,valine,15.866305912986814,liver
431,Exercise,13,valine,19.915314000168514,liver
432,Sedentary,14,valine,18.08728332472247,liver
433,Exercise,15,valine,15.34980314649734,liver
434,Sedentary,16,valine,14.842916937992193,liver
450,Exercise,1,leucine,16.428509610764667,liver
451,Sedentary,2,leucine,17.86621276230022,liver
452,Exercise,3,leucine,18.268336226823667,liver
453,Exercise,5,leucine,16.581316242829693,liver
454,Sedentary,6,leucine,16.730950129756543,liver
455,Exercise,7,leucine,16.86598909554516,liver
456,Sedentary,8,leucine,19.646402882030422,liver
457,Exercise,9,leucine,17.927287075885243,liver
458,Sedentary,10,leucine,16.52010732222891,liver
459,Exercise,11,leucine,17.587390891251278,liver
460,Sedentary,12,leucine,17.466604368536906,liver
461,Exercise,13,leucine,22.042592309824034,liver
462,Sedentary,14,leucine,20.26149261400655,liver
463,Exercise,15,leucine,17.082046128044194,liver
464,Sedentary,16,leucine,16.288977833245955,liver
465,Exercise,1,isoleucine,13.358083369950819,liver
466,Sedentary,2,isoleucine,14.284408957720135,liver
467,Exercise,3,isoleucine,14.487264037575745,liver
468,Exercise,5,isoleucine,13.441263728735771,liver
469,Sedentary,6,isoleucine,13.531459974357482,liver
470,Exercise,7,isoleucine,13.758915746961332,liver
471,Sedentary,8,isoleucine,15.135574993829016,liver
472,Exercise,9,isoleucine,14.294978628137281,liver
473,Sedentary,10,isoleucine,13.39917321704323,liver
474,Exercise,11,isoleucine,14.054505370473782,liver
475,Sedentary,12,isoleucine,13.893888956028666,liver
476,Exercise,13,isoleucine,16.26518767115167,liver
477,Sedentary,14,isoleucine,15.559857350923965,liver
478,Exercise,15,isoleucine,13.808314336598876,liver
479,Sedentary,16,isoleucine,13.269043846711865,liver
495,Exercise,1,lysine,10.789383588954996,liver
496,Sedentary,2,lysine,11.181870592646506,liver
497,Exercise,3,lysine,11.322041577811104,liver
498,Exercise,5,lysine,10.727114580208129,liver
499,Sedentary,6,lysine,11.09725594432854,liver
500,Exercise,7,lysine,10.742619686968387,liver
501,Sedentary,8,lysine,12.062611031752656,liver
502,Exercise,9,lysine,10.599306401655175,liver
503,Sedentary,10,lysine,10.969538860152026,liver
504,Exercise,11,lysine,11.178294020575574,liver
505,Sedentary,12,lysine,11.157618273823601,liver
506,Exercise,13,lysine,13.219710235075363,liver
507,Sedentary,14,lysine,11.456812255353377,liver
508,Exercise,15,lysine,10.560778782629598,liver
509,Sedentary,16,lysine,10.749252664932351,liver
510,Exercise,1,methionine,9.277951412174588,liver
511,Sedentary,2,methionine,9.292062321705377,liver
512,Exercise,3,methionine,9.669003273869437,liver
513,Exercise,5,methionine,9.097243376319424,liver
514,Sedentary,6,methionine,9.087874480944578,liver
515,Exercise,7,methionine,9.071597735769576,liver
516,Sedentary,8,methionine,9.857835125766119,liver
517,Exercise,9,methionine,9.270495980354664,liver
518,Sedentary,10,methionine,9.295547162896861,liver
519,Exercise,11,methionine,9.656353968633393,liver
520,Sedentary,12,methionine,9.70243535258223,liver
521,Exercise,13,methionine,9.634523670814605,liver
522,Sedentary,14,methionine,10.76662973203161,liver
523,Exercise,15,methionine,9.446359061247616,liver
524,Sedentary,16,methionine,9.585581386552388,liver
525,Exercise,1,phenylalanine,14.239584636057726,liver
526,Sedentary,2,phenylalanine,14.935926388910795,liver
527,Exercise,3,phenylalanine,15.033526000242253,liver
528,Exercise,5,phenylalanine,14.182770213254198,liver
529,Sedentary,6,phenylalanine,14.126195091704624,liver
530,Exercise,7,phenylalanine,14.497432533600005,liver
531,Sedentary,8,phenylalanine,15.731903511710884,liver
532,Exercise,9,phenylalanine,15.01672433164623,liver
533,Sedentary,10,phenylalanine,14.089901479164144,liver
534,Exercise,11,phenylalanine,14.60118580553499,liver
535,Sedentary,12,phenylalanine,14.897782760934163,liver
536,Exercise,13,phenylalanine,16.00912997792111,liver
537,Sedentary,14,phenylalanine,15.533723492769067,liver
538,Exercise,15,phenylalanine,14.092694647166107,liver
539,Sedentary,16,phenylalanine,13.752267273050059,liver
540,Exercise,1,tyrosine,12.482777798978214,liver
541,Sedentary,2,tyrosine,13.36174733293564,liver
542,Exercise,3,tyrosine,13.47349223502691,liver
543,Exercise,5,tyrosine,12.588204235345199,liver
544,Sedentary,6,tyrosine,12.30941917355272,liver
545,Exercise,7,tyrosine,12.41832328482651,liver
546,Sedentary,8,tyrosine,13.561039514396747,liver
547,Exercise,9,tyrosine,13.331653447277988,liver
548,Sedentary,10,tyrosine,12.366670225089893,liver
549,Exercise,11,tyrosine,12.943311916748476,liver
550,Sedentary,12,tyrosine,13.072373486852587,liver
551,Exercise,13,tyrosine,14.164040663135388,liver
552,Sedentary,14,tyrosine,13.716988998487572,liver
553,Exercise,15,tyrosine,12.619842861308511,liver
554,Sedentary,16,tyrosine,12.46566570339285,liver
555,Exercise,1,tryptophan,14.486438405091432,liver
556,Sedentary,2,tryptophan,15.376431534516383,liver
557,Exercise,3,tryptophan,15.285608789372079,liver
558,Exercise,5,tryptophan,14.724752373737513,liver
559,Sedentary,6,tryptophan,14.495498007707413,liver
560,Exercise,7,tryptophan,14.231827969991429,liver
561,Sedentary,8,tryptophan,15.24754600277233,liver
562,Exercise,9,tryptophan,15.417104668931902,liver
563,Sedentary,10,tryptophan,14.331712758908246,liver
564,Exercise,11,tryptophan,15.052288327359436,liver
565,Sedentary,12,tryptophan,15.10110635800249,liver
566,Exercise,13,tryptophan,15.314820856265026,liver
567,Sedentary,14,tryptophan,15.87076784813287,liver
568,Exercise,15,tryptophan,14.51881366598243,liver
569,Sedentary,16,tryptophan,14.392697758756286,liver
570,Exercise,1,glutamine,21.897606370560716,liver
571,Sedentary,2,glutamine,24.03470729676905,liver
572,Exercise,3,glutamine,23.034727876887906,liver
573,Exercise,5,glutamine,23.554238958854523,liver
574,Sedentary,6,glutamine,24.67667257637172,liver
575,Exercise,7,glutamine,20.74660829561305,liver
576,Sedentary,8,glutamine,23.383680309155757,liver
577,Exercise,9,glutamine,21.80037090747769,liver
578,Sedentary,10,glutamine,23.89024819355864,liver
579,Exercise,11,glutamine,24.610272322939373,liver
580,Sedentary,12,glutamine,25.160493998365972,liver
581,Exercise,13,glutamine,22.007032198570815,liver
582,Sedentary,14,glutamine,25.9394612156871,liver
583,Exercise,15,glutamine,25.86110246533236,liver
584,Sedentary,16,glutamine,23.83660362735044,liver
585,Exercise,1,serine,9.907584058538047,liver
586,Sedentary,2,serine,10.13868674858337,liver
587,Exercise,3,serine,10.525049639061331,liver
588,Exercise,5,serine,9.90341427013564,liver
589,Sedentary,6,serine,9.946979264409062,liver
590,Exercise,7,serine,9.268819340873835,liver
591,Sedentary,8,serine,10.747402351617552,liver
592,Exercise,9,serine,10.437827829025863,liver
593,Sedentary,10,serine,9.92977477012619,liver
594,Exercise,11,serine,10.348300989916794,liver
595,Sedentary,12,serine,10.195323717543072,liver
596,Exercise,13,serine,11.364031857118501,liver
597,Sedentary,14,serine,11.266981530114245,liver
598,Exercise,15,serine,10.354579821015308,liver
599,Sedentary,16,serine,10.846070481760725,liver
600,Exercise,1,glycine,12.305386427277394,liver
601,Sedentary,2,glycine,13.03048591048148,liver
602,Exercise,3,glycine,12.891389673888431,liver
603,Exercise,5,glycine,12.22810107166085,liver
604,Sedentary,6,glycine,12.666773014641825,liver
605,Exercise,7,glycine,11.781920212511979,liver
606,Sedentary,8,glycine,12.474947823163392,liver
607,Exercise,9,glycine,13.070506012545453,liver
608,Sedentary,10,glycine,12.23523678214809,liver
609,Exercise,11,glycine,12.458755446601877,liver
610,Sedentary,12,glycine,12.765749734937614,liver
611,Exercise,13,glycine,11.831808100739334,liver
612,Sedentary,14,glycine,14.065532291763795,liver
613,Exercise,15,glycine,13.109739041199322,liver
614,Sedentary,16,glycine,13.774159947491249,liver
615,Exercise,1,proline,13.484324361786182,liver
616,Sedentary,2,proline,13.296265481541672,liver
617,Exercise,3,proline,13.715820786850696,liver
618,Exercise,5,proline,12.878895507104055,liver
619,Sedentary,6,proline,13.116431659288644,liver
620,Exercise,7,proline,13.603323805280443,liver
621,Sedentary,8,proline,14.219738345366405,liver
622,Exercise,9,proline,13.338272616829602,liver
623,Sedentary,10,proline,13.062061168153352,liver
624,Exercise,11,proline,13.395836000747765,liver
625,Sedentary,12,proline,13.562808272406372,liver
626,Exercise,13,proline,14.491315428434016,liver
627,Sedentary,14,proline,14.218690703457748,liver
628,Exercise,15,proline,13.457673664178355,liver
629,Sedentary,16,proline,13.028754958117394,liver
630,Exercise,1,ADP,18.055077216594633,liver
631,Sedentary,2,ADP,17.077882396041318,liver
632,Exercise,3,ADP,17.775727746333498,liver
633,Exercise,5,ADP,17.006810497551122,liver
634,Sedentary,6,ADP,17.193758550171875,liver
635,Exercise,7,ADP,18.297225102337194,liver
636,Sedentary,8,ADP,17.64812095102347,liver
637,Exercise,9,ADP,18.114211178182032,liver
638,Sedentary,10,ADP,17.418418251577695,liver
639,Exercise,11,ADP,18.05857932339467,liver
640,Sedentary,12,ADP,17.424730522704166,liver
641,Exercise,13,ADP,17.97940871649218,liver
642,Sedentary,14,ADP,16.041585425444293,liver
643,Exercise,15,ADP,17.642967642359945,liver
644,Sedentary,16,ADP,18.263051302301445,liver
645,Exercise,1,AMP,29.35364006099427,liver
646,Sedentary,2,AMP,27.197935246399645,liver
647,Exercise,3,AMP,34.39353044037588,liver
648,Exercise,5,AMP,27.56888226155124,liver
649,Sedentary,6,AMP,25.274499996783277,liver
650,Exercise,7,AMP,28.69925865998697,liver
651,Sedentary,8,AMP,38.28736056928348,liver
652,Exercise,9,AMP,28.571274729193053,liver
653,Sedentary,10,AMP,32.16736955961181,liver
654,Exercise,11,AMP,34.93222929471143,liver
655,Sedentary,12,AMP,33.50343085535403,liver
656,Exercise,13,AMP,37.19660407422338,liver
657,Sedentary,14,AMP,45.57724191474183,liver
658,Exercise,15,AMP,27.940920063790248,liver
659,Sedentary,16,AMP,34.340549676638894,liver
705,Exercise,1,NADPH,7.852773858737047,liver
706,Sedentary,2,NADPH,7.800668509035893,liver
707,Exercise,3,NADPH,8.416891974491666,liver
708,Exercise,5,NADPH,8.429092703264251,liver
709,Sedentary,6,NADPH,8.439001100820084,liver
710,Exercise,7,NADPH,8.177220823809002,liver
711,Sedentary,8,NADPH,8.222922545369341,liver
712,Exercise,9,NADPH,8.288051974990601,liver
713,Sedentary,10,NADPH,8.466223765309048,liver
714,Exercise,11,NADPH,8.31913445918501,liver
715,Sedentary,12,NADPH,8.637674870255507,liver
716,Exercise,13,NADPH,8.020980496708734,liver
717,Sedentary,14,NADPH,8.89101266108939,liver
718,Exercise,15,NADPH,8.351859418750777,liver
719,Sedentary,16,NADPH,8.463088132840053,liver
720,Exercise,1,NADP,9.801257825221025,liver
721,Sedentary,2,NADP,9.497928946750728,liver
722,Exercise,3,NADP,10.089793962776458,liver
723,Exercise,5,NADP,9.749420145345884,liver
724,Sedentary,6,NADP,9.781241577189324,liver
725,Exercise,7,NADP,9.5653338414716,liver
726,Sedentary,8,NADP,10.123408806913204,liver
727,Exercise,9,NADP,9.944357142248736,liver
728,Sedentary,10,NADP,9.843424584555653,liver
729,Exercise,11,NADP,9.81153384824151,liver
730,Sedentary,12,NADP,10.036449010994728,liver
731,Exercise,13,NADP,9.7125565208152,liver
732,Sedentary,14,NADP,10.050196046949937,liver
733,Exercise,15,NADP,9.983882806965699,liver
734,Sedentary,16,NADP,10.2824156397199,liver
735,Exercise,1,NAD,14.597170820414144,liver
736,Sedentary,2,NAD,14.986703959732855,liver
737,Exercise,3,NAD,14.45464539087989,liver
738,Exercise,5,NAD,14.62985700597493,liver
739,Sedentary,6,NAD,14.6180182988633,liver
740,Exercise,7,NAD,15.017051459674905,liver
741,Sedentary,8,NAD,15.243014633715783,liver
742,Exercise,9,NAD,14.88946751730093,liver
743,Sedentary,10,NAD,14.518324957529108,liver
744,Exercise,11,NAD,14.774275864403366,liver
745,Sedentary,12,NAD,14.761455674930012,liver
746,Exercise,13,NAD,14.511603826749244,liver
747,Sedentary,14,NAD,15.876892950753543,liver
748,Exercise,15,NAD,14.149816007238481,liver
749,Sedentary,16,NAD,15.253666958653522,liver
750,Exercise,1,NADH,12.177139602970733,liver
751,Sedentary,2,NADH,12.551434284104518,liver
752,Exercise,3,NADH,13.513872044750713,liver
753,Exercise,5,NADH,13.040329072762475,liver
754,Sedentary,6,NADH,12.923633467917467,liver
755,Exercise,7,NADH,12.625009844163953,liver
756,Sedentary,8,NADH,12.803913816749999,liver
757,Exercise,9,NADH,12.822324761653176,liver
758,Sedentary,10,NADH,13.261706443632054,liver
759,Exercise,11,NADH,13.038140425732653,liver
760,Sedentary,12,NADH,13.288276086916284,liver
761,Exercise,13,NADH,12.729275079225635,liver
762,Sedentary,14,NADH,14.499573965862917,liver
763,Exercise,15,NADH,12.167398923178004,liver
764,Sedentary,16,NADH,13.309436872383676,liver
765,Exercise,1,ATP,11.700133333558222,liver
766,Sedentary,2,ATP,11.11523961799485,liver
767,Exercise,3,ATP,10.84647801539813,liver
768,Exercise,5,ATP,11.9222762565873,liver
769,Sedentary,6,ATP,11.79234662493605,liver
770,Exercise,7,ATP,12.24947336525564,liver
771,Sedentary,8,ATP,10.64691696724538,liver
772,Exercise,9,ATP,11.2415635012895,liver
773,Sedentary,10,ATP,11.739842236652523,liver
774,Exercise,11,ATP,11.284097056549657,liver
775,Sedentary,12,ATP,10.93320001698114,liver
776,Exercise,13,ATP,11.10723627698335,liver
777,Sedentary,14,ATP,10.10037752575993,liver
778,Exercise,15,ATP,11.701365371053848,liver
779,Sedentary,16,ATP,11.00376842422042,liver
0,Exercise,1,glutamate,14.99767653346871,quad
1,Sedentary,2,glutamate,16.570719444838918,quad
2,Exercise,3,glutamate,18.01022462366408,quad
3,Exercise,5,glutamate,15.294830569726155,quad
4,Sedentary,6,glutamate,15.883949876168593,quad
5,Exercise,7,glutamate,16.400291976722574,quad
6,Sedentary,8,glutamate,14.675616323867954,quad
7,Exercise,9,glutamate,14.451819074310698,quad
8,Sedentary,10,glutamate,15.397437133417895,quad
9,Exercise,11,glutamate,17.72927285437042,quad
10,Sedentary,12,glutamate,16.235198080764654,quad
11,Exercise,13,glutamate,15.15530808465021,quad
12,Sedentary,14,glutamate,17.15559781324298,quad
13,Exercise,15,glutamate,18.45989917479324,quad
14,Sedentary,16,glutamate,15.797506232295994,quad
75,Exercise,1,phosphoenolpyruvate,8.497183830251732,quad
76,Sedentary,2,phosphoenolpyruvate,8.678647789481069,quad
77,Exercise,3,phosphoenolpyruvate,8.721668794310892,quad
78,Exercise,5,phosphoenolpyruvate,8.495528226861335,quad
79,Sedentary,6,phosphoenolpyruvate,8.43112838982503,quad
80,Exercise,7,phosphoenolpyruvate,8.117002237182449,quad
81,Sedentary,8,phosphoenolpyruvate,8.64420234551915,quad
82,Exercise,9,phosphoenolpyruvate,8.56560207164634,quad
83,Sedentary,10,phosphoenolpyruvate,8.007010955901263,quad
84,Exercise,11,phosphoenolpyruvate,8.343259738996144,quad
85,Sedentary,12,phosphoenolpyruvate,8.516330492697955,quad
86,Exercise,13,phosphoenolpyruvate,8.194265016310247,quad
87,Sedentary,14,phosphoenolpyruvate,8.714988343410099,quad
88,Exercise,15,phosphoenolpyruvate,8.63438038479281,quad
89,Sedentary,16,phosphoenolpyruvate,8.42734657654038,quad
90,Exercise,1,pyruvate,21.796911285418926,quad
91,Sedentary,2,pyruvate,26.158840606785226,quad
92,Exercise,3,pyruvate,23.10412644921626,quad
93,Exercise,5,pyruvate,20.76277615372597,quad
94,Sedentary,6,pyruvate,22.802665727272462,quad
95,Exercise,7,pyruvate,22.346777748956008,quad
96,Sedentary,8,pyruvate,25.218893588684306,quad
97,Exercise,9,pyruvate,24.30263575951281,quad
98,Sedentary,10,pyruvate,19.919570554578154,quad
99,Exercise,11,pyruvate,24.40887820183783,quad
100,Sedentary,12,pyruvate,25.81767638604502,quad
101,Exercise,13,pyruvate,22.216996210023908,quad
102,Sedentary,14,pyruvate,24.700034626271343,quad
103,Exercise,15,pyruvate,22.50846535016308,quad
104,Sedentary,16,pyruvate,23.462788099632476,quad
105,Exercise,1,lactate,40.80727401668525,quad
106,Sedentary,2,lactate,44.50728374422511,quad
107,Exercise,3,lactate,42.986035473345126,quad
108,Exercise,5,lactate,37.05985777714234,quad
109,Sedentary,6,lactate,43.91282725008212,quad
110,Exercise,7,lactate,38.734229035336526,quad
111,Sedentary,8,lactate,45.02526684276963,quad
112,Exercise,9,lactate,45.84897576467276,quad
113,Sedentary,10,lactate,34.6023777075308,quad
114,Exercise,11,lactate,35.276269935507145,quad
115,Sedentary,12,lactate,41.10898236501551,quad
116,Exercise,13,lactate,40.8522232134504,quad
117,Sedentary,14,lactate,35.267676563015826,quad
118,Exercise,15,lactate,30.97190544590495,quad
119,Sedentary,16,lactate,43.82348710956222,quad
225,Exercise,1,succinate,20.04193372795424,quad
226,Sedentary,2,succinate,23.88796814433405,quad
227,Exercise,3,succinate,22.00174742111736,quad
228,Exercise,5,succinate,20.793514726544004,quad
229,Sedentary,6,succinate,20.535702499167353,quad
230,Exercise,7,succinate,18.819826549253612,quad
231,Sedentary,8,succinate,17.66313532605062,quad
232,Exercise,9,succinate,22.005136507441332,quad
233,Sedentary,10,succinate,24.711815640171668,quad
234,Exercise,11,succinate,19.999386683720513,quad
235,Sedentary,12,succinate,20.364338961742597,quad
236,Exercise,13,succinate,20.51604670639412,quad
237,Sedentary,14,succinate,20.545210425416403,quad
238,Exercise,15,succinate,21.198701511422787,quad
239,Sedentary,16,succinate,22.088375275874135,quad
240,Exercise,1,malate,19.219606766370244,quad
241,Sedentary,2,malate,24.20699079095561,quad
242,Exercise,3,malate,22.668791195987033,quad
243,Exercise,5,malate,22.652981821795677,quad
244,Sedentary,6,malate,20.386429696647202,quad
245,Exercise,7,malate,21.074244968808344,quad
246,Sedentary,8,malate,20.673851195821996,quad
247,Exercise,9,malate,21.86842512659041,quad
248,Sedentary,10,malate,28.756020582236896,quad
249,Exercise,11,malate,21.93941681639848,quad
250,Sedentary,12,malate,21.963047911566967,quad
251,Exercise,13,malate,22.80552321220071,quad
252,Sedentary,14,malate,21.585432777158005,quad
253,Exercise,15,malate,24.96368314511764,quad
254,Sedentary,16,malate,27.051907923190775,quad
255,Exercise,1,aspartate,9.75696347228372,quad
256,Sedentary,2,aspartate,12.325799338335838,quad
257,Exercise,3,aspartate,12.472885797314404,quad
258,Exercise,5,aspartate,10.384134624128528,quad
259,Sedentary,6,aspartate,11.660508430252788,quad
260,Exercise,7,aspartate,11.295309757773603,quad
261,Sedentary,8,aspartate,11.724545580659939,quad
262,Exercise,9,aspartate,12.582926457272029,quad
263,Sedentary,10,aspartate,11.698215663128558,quad
264,Exercise,11,aspartate,13.541658225421859,quad
265,Sedentary,12,aspartate,13.142329933852299,quad
266,Exercise,13,aspartate,11.950436164446119,quad
267,Sedentary,14,aspartate,13.406226095248009,quad
268,Exercise,15,aspartate,14.104332436157199,quad
269,Sedentary,16,aspartate,15.001731798523776,quad
270,Exercise,1,threonine,12.01729941419907,quad
271,Sedentary,2,threonine,11.225403234921426,quad
272,Exercise,3,threonine,12.064099697913466,quad
273,Exercise,5,threonine,11.585394552404484,quad
274,Sedentary,6,threonine,12.074114129609423,quad
275,Exercise,7,threonine,12.22885045779671,quad
276,Sedentary,8,threonine,11.990354905189838,quad
277,Exercise,9,threonine,10.736572716000465,quad
278,Sedentary,10,threonine,10.913198248299205,quad
279,Exercise,11,threonine,12.713253463394992,quad
280,Sedentary,12,threonine,11.852609038830822,quad
281,Exercise,13,threonine,12.142189120221756,quad
282,Sedentary,14,threonine,11.129516299429696,quad
283,Exercise,15,threonine,12.011694415867193,quad
284,Sedentary,16,threonine,11.54129526675631,quad
285,Exercise,1,a-ketoglutarate,9.664120553432552,quad
286,Sedentary,2,a-ketoglutarate,8.864505648923613,quad
287,Exercise,3,a-ketoglutarate,9.380773567837142,quad
288,Exercise,5,a-ketoglutarate,10.576199704422192,quad
289,Sedentary,6,a-ketoglutarate,9.274745604342112,quad
290,Exercise,7,a-ketoglutarate,10.125435756788724,quad
291,Sedentary,8,a-ketoglutarate,8.613953494176537,quad
