,Sample,Compound,APE,Plasma_Glutamine_APE,Condition,FC_Gln_Substrate,Tissue
1,2,a-ketoglutarate,0.0708218290135301,0.07938803593591716,Sedentary,0.8920970040208351,kidney
2,3,a-ketoglutarate,0.07730681352258015,0.1294206661597859,Exercise,0.5973297450589172,kidney
3,4,a-ketoglutarate,0.09977612938065425,0.07726959114141162,Exercise,1.2912729044735498,kidney
4,5,a-ketoglutarate,0.11367361460994566,0.06733278000347986,Sedentary,1.688235872691887,kidney
5,6,a-ketoglutarate,0.10435466742453732,0.07230068379896054,Exercise,1.4433427450659548,kidney
6,7,a-ketoglutarate,0.10923807000095712,0.10979942568510855,Sedentary,0.9948874442589406,kidney
7,8,a-ketoglutarate,0.08618262771239539,0.06888971763403963,Exercise,1.2510230941897638,kidney
8,9,a-ketoglutarate,0.09047019421806948,0.07486253314563235,Sedentary,1.2084842766684782,kidney
9,10,a-ketoglutarate,0.06534395651934786,0.06796373840095314,Exercise,0.9614532404596429,kidney
10,11,a-ketoglutarate,0.10657577602880752,0.09491749002750353,Sedentary,1.12282547713731,kidney
11,12,a-ketoglutarate,0.08238814262080404,0.12044116634955242,Exercise,0.6840530120880071,kidney
12,13,a-ketoglutarate,0.09499056004735629,0.09901828859596734,Exercise,0.9593233875708989,kidney
13,14,a-ketoglutarate,0.09304517728960238,0.09203006205264677,Sedentary,1.011030257008573,kidney
14,1,aspartate,0.016516888908676676,0.10346535695772785,Exercise,0.15963690064322564,kidney
15,2,aspartate,0.007917774099225268,0.07938803593591716,Sedentary,0.09973510499260338,kidney
16,3,aspartate,0.012637591747450543,0.1294206661597859,Exercise,0.09764740147333088,kidney
17,4,aspartate,0.011294329463764095,0.07726959114141162,Exercise,0.14616784296288388,kidney
18,5,aspartate,0.013795572072260204,0.06733278000347986,Sedentary,0.20488641745591415,kidney
19,6,aspartate,0.014003995975717765,0.07230068379896054,Exercise,0.19369105850585466,kidney
20,7,aspartate,0.013030691402565794,0.10979942568510855,Sedentary,0.11867722732845833,kidney
21,8,aspartate,0.0063308513554086905,0.06888971763403963,Exercise,0.09189834960624813,kidney
22,9,aspartate,0.014593399191527098,0.07486253314563235,Sedentary,0.1949359523159351,kidney
23,10,aspartate,0.010496409270279549,0.06796373840095314,Exercise,0.15444131704992178,kidney
24,11,aspartate,0.011610544653407835,0.09491749002750353,Sedentary,0.1223224997842182,kidney
25,12,aspartate,0.014492742536645415,0.12044116634955242,Exercise,0.1203304731754557,kidney
26,13,aspartate,0.011198470338617619,0.09901828859596734,Exercise,0.11309496960012791,kidney
27,14,aspartate,0.010076496460773963,0.09203006205264677,Sedentary,0.10949135788922533,kidney
28,1,malate,0.013333595875138644,0.10346535695772785,Exercise,0.12887014810750871,kidney
29,2,malate,0.00792843323210562,0.07938803593591716,Sedentary,0.0998693712300117,kidney
30,3,malate,0.011683881100435096,0.1294206661597859,Exercise,0.09027832607514083,kidney
31,4,malate,0.010117792288061679,0.07726959114141162,Exercise,0.1309414497812605,kidney
32,5,malate,0.013886143389908703,0.06733278000347986,Sedentary,0.20623154708881833,kidney
33,6,malate,0.014380915419530604,0.07230068379896054,Exercise,0.1989042795157818,kidney
34,7,malate,0.015026402194059409,0.10979942568510855,Sedentary,0.13685319481682273,kidney
35,8,malate,0.006427587429565384,0.06888971763403963,Exercise,0.0933025660478161,kidney
36,9,malate,0.010994366157389864,0.07486253314563235,Sedentary,0.14686072853028084,kidney
37,10,malate,0.008627159981280469,0.06796373840095314,Exercise,0.12693769036635982,kidney
38,11,malate,0.009331744984878036,0.09491749002750353,Sedentary,0.09831428309128323,kidney
39,12,malate,0.012670380527206402,0.12044116634955242,Exercise,0.10519974948128263,kidney
40,13,malate,0.010616822447904796,0.09901828859596734,Exercise,0.107220823531151,kidney
41,14,malate,0.008636374313944109,0.09203006205264677,Sedentary,0.09384296958317359,kidney
42,1,proline,0.0014110147411017127,0.10346535695772785,Exercise,0.013637557367904327,kidney
43,2,proline,0.0007809054398816293,0.07938803593591716,Sedentary,0.009836563289108,kidney
44,3,proline,0.0018098788991520987,0.1294206661597859,Exercise,0.013984465950110148,kidney
