,Compound,13C#,1_quad,2_quad,3_quad,5_quad,6_quad,7_quad,8_quad,9_quad,10_quad,11_quad,12_quad,13_quad,14_quad,15_quad,16_quad
58,AMP,10,0.0,8.093423821699772e-05,0.001588238526106924,0.0008984967086288604,0.0,0.0,0.0,2.7410009208069782e-05,9.419677529045345e-05,0.0,5.0306405086404515e-06,0.0,0.0,0.0007741047965356697,0.00012546326044299866
125,a-ketoglutarate,0,0.9612947619178287,0.9424170825421405,0.9443132230117174,0.9735734682982903,0.944261376602313,0.9696054021725486,0.9082759768958166,0.9480333961484784,0.96915886945923,0.9548001739873214,0.9534307443722023,0.9435191527185882,0.9433259607403761,0.9485156763412887,0.9336217111299956
126,a-ketoglutarate,1,0.003207664381475093,0.006681414990480711,0.001857353834696308,0.0028896036319311642,0.00518795913660272,0.003794623870865995,0.00540377471960554,0.0030999427377385942,0.013217240848949579,0.0023676370916553523,0.0011185879105577892,0.00536684211097623,0.00288261258163352,0.00422585262339919,0.0014303621857123447
127,a-ketoglutarate,2,0.008677367927665618,0.009627782350950522,0.01185121719873318,0.0037076418777726456,0.010875518435503854,0.0051045568539663105,0.013167853541192102,0.0028177326072151535,0.002515666160036948,0.005335170602403787,0.003829494274566872,0.004391210992348309,0.01825414689812644,0.014714996814529344,0.021917230992834234
128,a-ketoglutarate,3,0.007147277329277967,0.0027458837717141277,0.008863764350205567,0.0037180572672344796,0.007761689221127438,0.006038242506972467,0.015328922413522851,0.009536369751347836,0.0032739757831706587,0.00539732266975769,0.006825899210787055,0.009420213617467867,0.008303954318524338,0.0068905476617324,0.012826286248180616
129,a-ketoglutarate,4,0.012776653101605823,0.026056317118986257,0.022346792472478033,0.009022257907993686,0.02522186284962868,0.009882599599533049,0.04262317047757573,0.03053791825020474,0.00573971501939711,0.023336381219854176,0.021504957427625027,0.026247514973990783,0.015391743997225812,0.018500925302761907,0.017450667502974006
130,a-ketoglutarate,5,0.006896275342146759,0.012471519225727905,0.010767649132169507,0.007088971016777772,0.006691593754824174,0.005574574996113453,0.0152003019522872,0.00597464050501539,0.006094532729215699,0.008763314429007489,0.013290316804260998,0.011055065586628506,0.011841581464113828,0.007152001256288461,0.01275374194030321
148,aspartate,0,0.993092874460153,0.9909644257601425,0.989120128698371,0.9925363214763075,0.9861470187663266,0.9845949047731548,0.9841693058231111,0.9917332846146519,0.9939634238060611,0.9889825017717176,0.9880021002756664,0.9900484884601181,0.9837278064075893,0.993472782792294,0.9814462740352922
149,aspartate,1,0.003650035604628899,0.0,0.0006437053886200413,0.0,0.0007370417693903452,0.001121722252225004,0.00614715382937116,0.0,0.0006571445204848006,0.003049037621894603,0.0003231117627519518,0.006057851966786777,0.00477023850916051,0.0011132715854613032,0.0057937194100584856
150,aspartate,2,0.0,0.0030636606279071826,0.0030778917559494672,0.002358147271154998,0.003978995649806301,0.0038883990854567062,0.003098640957439778,0.004073860021564921,0.0010267624062795424,0.0030931604563799626,0.004323270446683431,0.0015862211910042596,0.005010141175874282,0.0022772177823961836,0.005356987395713801
151,aspartate,3,0.0012154103369549226,0.0010489537492260569,0.0007365722060281863,0.0018751989073525004,0.003060808637446261,0.0014570045644193477,0.0006637370000869612,0.000296590687083864,0.00041144184677794374,0.00032939712035432833,0.0006849009307044318,0.000481912762268397,0.0011176580432282176,0.0009598300608004037,0.0008743974958775958
152,aspartate,4,0.002041679598263119,0.0049229598627242716,0.006421701951031315,0.003230332345185002,0.006076135177030508,0.008937969324744041,0.005921162389990922,0.0038962646766991594,0.003941227420396656,0.004545903029653339,0.0066666165841939235,0.0018255256198224977,0.005374155864147635,0.0021768977790481395,0.00652862166305792
225,malate,0,0.9848654648257857,0.9928166272382967,0.9844286750987074,0.9929822772031494,0.9837087768454997,0.9922725837307337,0.9924895120243662,0.9909458180274906,0.9965674770239996,0.9924828262521815,0.9828851346816928,0.9928181648088992,0.9906155915686508,0.9957679494795805,0.9914949352489878
226,malate,1,0.00768537852754008,0.00018524312394693543,0.008836935746487135,0.000365085745779339,0.006936506078327153,0.0005247110164218465,0.0004758242620660141,0.00447914282616421,0.00013520340554314716,0.0004142309298208217,0.007152195218083267,0.003073663518050008,0.00014986279569148303,0.0001670530304431084,0.00012698379600045175
227,malate,2,0.002773190647077202,0.0031785409045607606,0.0025259213425146503,0.0036478488176418726,0.00440962121955591,0.003328789363460701,0.002326946328882368,0.0021636022617187267,0.0018366723486530723,0.002812601019256209,0.0043508936280173376,0.00169976059710369,0.0037993925449817103,0.00123011314574609,0.0034178532229304026
228,malate,3,0.0008895897878419723,0.00020068254907039615,0.0006920002224470694,0.0003453981712389138,0.0005086032620190233,0.0008031163509440348,0.0005625664888584747,0.0002561833297293741,0.00014017452282955826,0.00033422963533651014,0.0004892116757923031,0.0002647605637590985,0.0004314442082380997,0.0004343620307388613,0.00025957519346302794
229,malate,4,0.003786376211754968,0.0036189061841252427,0.0035164675898436753,0.002659390062190512,0.004436492594598226,0.003070799538439825,0.00414515089582689,0.0021552535548971224,0.0013204726989746343,0.0039561121634048985,0.005122564796414206,0.0021436505121880216,0.005003708882437964,0.002400522313491432,0.004700652538618423
256,proline,0,0.9993794384963222,0.9996110778229386,0.9996370700131457,0.9995514034814085,0.9995343838131886,0.9996370719392729,0.9997817117622827,0.9994349129747092,0.9995082399087332,0.9998073995873378,0.9994483755517641,0.9996948336227556,0.9991767232866192,0.9994432473032892,0.9994247114977722
257,proline,1,8.30126430726653e-05,1.0040433511125621e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.158580827386481e-07,0.0,0.0,8.533158742182369e-06,0.0,0.0,8.6255416625283e-06
258,proline,2,9.547689349240306e-05,0.00011306347014404462,8.131539132694084e-05,0.0001096727836422037,0.00013921914938973357,8.68787512093146e-06,4.654897239623461e-05,0.00025222247666378963,0.00012028097346754423,6.037187192694199e-05,0.00014065337977630662,0.00017901632922878136,9.830633421861526e-05,0.00014564679499721845,0.0002299099419709873
259,proline,3,0.00016538608268306,6.410941282371848e-05,8.621428363989765e-05,9.346952276250636e-05,1.637736584883028e-05,0.00011770283789766742,6.344805527676555e-05,9.277778989244298e-05,0.00015610404430718412,0.0,2.9692139656237773e-05,1.1559454668640078e-05,0.00021347485817753783,0.00010852588570037164,6.18946908433363e-05
260,proline,4,1.1858606846767436e-05,3.557047513665701e-05,0.0,7.985609484375227e-05,3.62561064827085e-05,0.0,0.0,0.0,4.430415752799872e-05,4.226708214150454e-05,4.4068193150441515e-05,0.0,0.0,3.445024773269974e-05,5.9260418537772154e-05
261,proline,5,0.0002648272775829656,0.00016613838544589384,0.00019540031188746004,0.00016559811734314015,0.0002737635650902152,0.00023653734770849125,0.00010829121004434217,0.000220086758734423,0.00017015505788139037,8.996145859391327e-05,0.0003372107356528607,0.00010605743460474154,0.0005114955209846395,0.00026812976828046386,0.0002155979092132948
284,succinate,0,0.9872188127309427,0.9910519811639964,0.9897377365191808,0.9870151290699168,0.9871963578772583,0.9872132088101145,0.9852072944876648,0.9951691240025176,0.9917413634794213,0.9884561376413574,0.9842106279746825,0.994352103791876,0.9846824631253454,0.9935935883378209,0.9776064892949129
285,succinate,1,0.004477747161321494,0.0017338205240617483,0.0012675571484979207,0.0038955277826796127,0.005026965969188917,0.006081673459304022,0.004505523962954778,1.4104180515174971e-05,0.002618876656156828,0.00240363092404807,0.004605118234661709,0.0014135609604684527,0.00573442259358854,0.00027697184871738905,0.007755375640198668
286,succinate,2,0.00311116673089894,0.0031646261269058945,0.0037316883320390104,0.0036702265104139585,0.0031810115614168415,0.0023916347381697303,0.0037716978014994663,0.0020369971452089603,0.0024040080360351115,0.003654322684223213,0.0041900504467177165,0.0015724242151470484,0.003871008581283067,0.002217190563902558,0.0061481655381671095
287,succinate,3,0.0004649938930715634,9.787064211509186e-05,0.0003176834266245133,0.00014612145470447024,0.00014072961611074632,0.0005177399428235383,0.0003134262745643669,0.000109831554126604,0.00017787723404999288,0.00038353076000248205,0.00028583188377764954,0.00015876999963552576,0.0002353290615140201,0.00019272423538759474,6.913632917169601e-05
288,succinate,4,0.0047272794837652544,0.003951701542920877,0.004945334573657834,0.0052729951822850715,0.004454934976025215,0.0037957430495881234,0.0062020574733166085,0.002669943117631782,0.003057874594336855,0.005102377990368957,0.0067083714601603875,0.0025031410328730293,0.00547677663826902,0.0037195250141715463,0.00842083319754971
